created_at,Lokacija,entry_id,PM1.0_CF_ATM_ug/m3,PM2.5_CF_ATM_ug/m3,PM10.0_CF_ATM_ug/m3,UptimeMinutes,RSSI_dbm,Pressure_hpa,Temperatura,PM2.5_CF_1_ug/m3
2019-02-19 18:26:47 UTC,Borik,1,102.19,157.5,172.69,1169,-78,57,33,104.04
2019-02-19 18:28:07 UTC,Borik,2,101.57,156.43,169.11,1170,-80,57,33,103.39
2019-02-19 18:29:27 UTC,Borik,3,105.42,160.14,172.65,1171,-79,57,33,105.98
2019-02-19 18:30:46 UTC,Borik,4,110.39,169.82,185.39,1173,-78,56,33,112.25
2019-02-19 18:32:07 UTC,Borik,5,101.22,157.24,169.62,1174,-76,57,34,103.87
2019-02-19 18:33:27 UTC,Borik,6,95.29,150.78,160.71,1175,-80,57,34,99.49
2019-02-19 18:34:47 UTC,Borik,7,84.43,132.95,144.29,1177,-78,57,33,87.64
2019-02-19 18:36:07 UTC,Borik,8,78.45,124.18,134.07,1178,-76,57,33,81.82
2019-02-19 18:37:27 UTC,Borik,9,77.49,115.84,124,1179,-76,57,33,76.22
2019-02-19 18:38:48 UTC,Borik,10,80.13,125.82,135.22,1181,-79,57,33,83.07
2019-02-19 18:40:07 UTC,Borik,11,84.85,130.87,137.72,1182,-73,57,33,86.26
2019-02-19 18:41:26 UTC,Borik,12,84.25,131.33,145.79,1183,-75,57,33,86.83
2019-02-19 18:42:46 UTC,Borik,13,81.25,125.86,133,1185,-77,57,32,83
2019-02-19 18:44:07 UTC,Borik,14,81.95,129.5,136.38,1186,-76,57,32,85.38
2019-02-19 18:45:27 UTC,Borik,15,90.62,144.45,153.86,1187,-76,57,33,95.52
2019-02-19 18:46:46 UTC,Borik,16,98.98,153.21,164.67,1189,-76,57,33,101.21
2019-02-19 18:48:07 UTC,Borik,17,102.59,164.56,178.73,1190,-77,57,33,108.85
2019-02-19 18:49:26 UTC,Borik,18,113.45,178.52,193.14,1191,-76,57,33,118.11
2019-02-19 18:50:47 UTC,Borik,19,173.24,272.44,299.09,1193,-78,57,33,180.82
2019-02-19 18:52:06 UTC,Borik,20,183.82,297.64,322.13,1194,-76,57,33,197.51
2019-02-19 18:53:27 UTC,Borik,21,187.21,299.51,328.72,1195,-77,57,34,198.63
2019-02-19 18:54:47 UTC,Borik,22,175.89,282.47,306.64,1197,-79,56,34,187.49
2019-02-19 18:56:07 UTC,Borik,23,170.7,270,294.27,1198,-79,56,34,179.05
