created_at,Lokacija,entry_id,PM1.0_CF_ATM_ug/m3,PM2.5_CF_ATM_ug/m3,PM10.0_CF_ATM_ug/m3,UptimeMinutes,RSSI_dbm,Pressure_hpa,Temperatura,PM2.5_CF_1_ug/m3
2019-01-11 18:14:37 UTC,Sime Matavulja,1,224.72,416.26,499.17,1426,-62,39,50,276.5
2019-01-11 18:15:58 UTC,Sime Matavulja,2,232.11,426.39,515.15,1427,-66,39,50,283.13
2019-01-11 18:17:17 UTC,Sime Matavulja,3,233.95,441.36,531.57,1428,-64,38,50,293.16
2019-01-11 18:18:37 UTC,Sime Matavulja,4,241.71,445.53,526.76,1430,-63,38,50,295.89
2019-01-11 18:19:57 UTC,Sime Matavulja,5,247.28,455.46,533.22,1431,-61,38,50,302.43
2019-01-11 18:21:17 UTC,Sime Matavulja,6,232.05,414.7,479.55,1432,-66,38,50,275.3
2019-01-11 18:22:37 UTC,Sime Matavulja,7,229.89,401.62,471.4,1434,-65,38,50,266.69
2019-01-11 18:23:58 UTC,Sime Matavulja,8,223.36,390.04,464.82,1435,-62,38,51,258.78
2019-01-11 18:25:17 UTC,Sime Matavulja,9,222.84,399.02,468.95,1436,-65,38,51,264.95
2019-01-11 18:26:38 UTC,Sime Matavulja,10,219.54,389.76,454.61,1438,-62,38,51,258.76
2019-01-11 18:27:58 UTC,Sime Matavulja,11,209.07,364.4,420.09,1439,-62,38,51,241.98
2019-01-11 18:29:18 UTC,Sime Matavulja,12,213.6,369.63,423.21,1440,-60,38,51,245.47
2019-01-11 18:30:37 UTC,Sime Matavulja,13,215.27,376.2,440.13,1442,-63,38,51,249.91
2019-01-11 18:31:57 UTC,Sime Matavulja,14,215.78,368.62,431.82,1443,-63,38,51,244.67
2019-01-11 18:33:17 UTC,Sime Matavulja,15,219.27,384.15,453.6,1444,-61,38,51,254.87
2019-01-11 18:34:38 UTC,Sime Matavulja,16,216.42,384.6,453.89,1446,-62,38,51,255.44
2019-01-11 18:35:57 UTC,Sime Matavulja,17,226.91,402.8,470.78,1447,-63,38,52,267.51
2019-01-11 18:37:17 UTC,Sime Matavulja,18,226.59,408.85,481.54,1448,-60,37,52,271.48
2019-01-11 18:38:37 UTC,Sime Matavulja,19,235.42,421.86,505.95,1450,-61,37,52,280.05
2019-01-11 18:39:57 UTC,Sime Matavulja,20,240.84,443.02,537.07,1451,-63,37,52,294.24
2019-01-11 18:41:17 UTC,Sime Matavulja,21,244.93,460.57,561.32,1452,-60,37,52,305.91
2019-01-11 18:42:37 UTC,Sime Matavulja,22,246.89,482.57,609.89,1454,-61,37,52,320.78
2019-01-11 18:43:58 UTC,Sime Matavulja,23,256.6,531.64,672.42,1455,-61,37,52,353.22
2019-01-11 18:45:17 UTC,Sime Matavulja,24,259.98,544.11,713.4,1456,-60,37,52,361.77
2019-01-11 18:46:38 UTC,Sime Matavulja,25,258.8,545.69,717.04,1458,-63,37,52,362.64
2019-01-11 18:47:57 UTC,Sime Matavulja,26,254.47,514.93,676.02,1459,-61,37,53,342.18
2019-01-11 18:49:17 UTC,Sime Matavulja,27,253.22,500.4,632.13,1460,-61,37,53,332.44
2019-01-11 18:50:37 UTC,Sime Matavulja,28,245.47,480.14,593.4,1462,-60,37,53,319
2019-01-11 18:51:57 UTC,Sime Matavulja,29,241.09,454.36,562.51,1463,-57,37,53,301.71
2019-01-11 18:53:17 UTC,Sime Matavulja,30,238.43,460.52,561.33,1464,-60,37,53,306.02
2019-01-11 18:54:37 UTC,Sime Matavulja,31,239.53,465.57,578.15,1466,-64,37,53,309.19
